time,subopt,each_regret,minus_Delta
0,0.4000000000000001,0.4000000000000001,0.30000000000000004
1,0.4000000000000001,0.0,0.0
2,0.4000000000000001,0.0,0.0
3,0.4000000000000001,0.0,0.0
4,0.7200000000000002,0.32000000000000006,0.22000000000000006
5,0.7200000000000002,0.0,0.0
6,0.7200000000000002,0.0,0.0
7,0.7200000000000002,0.0,0.0
8,0.7200000000000002,0.0,0.0
9,0.9400000000000002,0.21999999999999997,0.11999999999999997
10,0.9400000000000002,0.0,0.0
11,0.9400000000000002,0.0,0.0
12,0.9400000000000002,0.0,0.0
13,0.9400000000000002,0.0,0.0
14,1.06,0.12,0.01999999999999999
15,1.06,0.0,0.0
16,1.06,0.0,0.0
17,1.06,0.0,0.0
18,1.1,0.040000000000000036,0.0
19,1.1,0.0,0.0
20,1.1,0.0,0.0
21,1.1,0.0,0.0
22,1.1,0.0,0.0
23,1.1,0.0,0.0
24,1.1800000000000002,0.08000000000000007,0.0
25,1.1800000000000002,0.0,0.0
26,1.1800000000000002,0.0,0.0
27,1.1800000000000002,0.0,0.0
28,1.1800000000000002,0.0,0.0
29,1.1800000000000002,0.0,0.0
30,1.1800000000000002,0.0,0.0
31,1.4000000000000001,0.21999999999999997,0.11999999999999997
32,1.6400000000000001,0.24,0.13999999999999999
33,1.9000000000000001,0.26,0.16
34,2.18,0.28,0.18000000000000002
35,2.4800000000000004,0.30000000000000004,0.20000000000000004
36,2.4800000000000004,0.0,0.0
37,2.8200000000000003,0.3400000000000001,0.24000000000000007
38,3.1800000000000006,0.3600000000000001,0.2600000000000001
39,3.5600000000000005,0.3800000000000001,0.28000000000000014
40,3.960000000000001,0.40000000000000013,0.30000000000000016
41,3.960000000000001,0.0,0.0
42,3.960000000000001,0.0,0.0
43,3.960000000000001,0.0,0.0
44,3.960000000000001,0.0,0.0
45,3.960000000000001,0.0,0.0
46,4.48,0.52,0.42000000000000004
47,4.48,0.0,0.0
48,4.48,0.0,0.0
49,5.0600000000000005,0.5799999999999998,0.47999999999999987
50,5.0600000000000005,0.0,0.0
51,5.0600000000000005,0.0,0.0
52,5.0600000000000005,0.0,0.0
53,5.0600000000000005,0.0,0.0
54,5.0600000000000005,0.0,0.0
55,5.0600000000000005,0.0,0.0
56,5.78,0.72,0.62
57,5.78,0.0,0.0
58,5.78,0.0,0.0
59,5.78,0.0,0.0
60,6.58,0.8,0.7000000000000001
61,7.36,0.78,0.68
62,8.120000000000001,0.7600000000000005,0.6600000000000005
63,8.120000000000001,0.0,0.0
64,8.120000000000001,0.0,0.0
65,8.120000000000001,0.0,0.0
66,8.120000000000001,0.0,0.0
67,8.120000000000001,0.0,0.0
68,8.120000000000001,0.0,0.0
69,8.120000000000001,0.0,0.0
70,8.120000000000001,0.0,0.0
71,8.120000000000001,0.0,0.0
72,8.120000000000001,0.0,0.0
73,8.120000000000001,0.0,0.0
74,8.120000000000001,0.0,0.0
75,8.120000000000001,0.0,0.0
76,8.120000000000001,0.0,0.0
77,8.580000000000002,0.4600000000000002,0.3600000000000002
78,9.020000000000001,0.44000000000000017,0.3400000000000002
79,9.020000000000001,0.0,0.0
80,9.020000000000001,0.0,0.0
81,9.400000000000002,0.3800000000000001,0.28000000000000014
82,9.760000000000002,0.3600000000000003,0.26000000000000034
83,10.100000000000001,0.3400000000000005,0.24000000000000052
84,10.420000000000002,0.32000000000000006,0.22000000000000006
85,10.720000000000002,0.30000000000000027,0.20000000000000026
86,11.000000000000004,0.28000000000000047,0.18000000000000047
87,11.000000000000004,0.0,0.0
88,11.240000000000004,0.2400000000000002,0.1400000000000002
89,11.240000000000004,0.0,0.0
90,11.240000000000004,0.0,0.0
91,11.240000000000004,0.0,0.0
92,11.240000000000004,0.0,0.0
93,11.240000000000004,0.0,0.0
94,11.240000000000004,0.0,0.0
95,11.240000000000004,0.0,0.0
96,11.240000000000004,0.0,0.0
97,11.240000000000004,0.0,0.0
98,11.280000000000005,0.04000000000000037,0.0
99,11.300000000000004,0.02000000000000013,0.0
100,11.300000000000004,0.0,0.0
101,11.320000000000004,0.019999999999999796,0.0
102,11.320000000000004,0.0,0.0
103,11.320000000000004,0.0,0.0
104,11.400000000000004,0.07999999999999985,0.0
105,11.400000000000004,0.0,0.0
106,11.400000000000004,0.0,0.0
107,11.400000000000004,0.0,0.0
108,11.400000000000004,0.0,0.0
109,11.400000000000004,0.0,0.0
110,11.400000000000004,0.0,0.0
111,11.400000000000004,0.0,0.0
112,11.400000000000004,0.0,0.0
113,11.400000000000004,0.0,0.0
114,11.400000000000004,0.0,0.0
115,11.700000000000003,0.2999999999999998,0.19999999999999982
116,11.700000000000003,0.0,0.0
117,12.040000000000003,0.33999999999999964,0.23999999999999963
118,12.400000000000002,0.35999999999999965,0.2599999999999997
119,12.780000000000001,0.3799999999999999,0.2799999999999999
120,13.180000000000001,0.3999999999999997,0.2999999999999997
121,13.560000000000002,0.3800000000000001,0.28000000000000014
