time,subopt,each_regret,minus_Delta
0,0.4000000000000001,0.4000000000000001,0.30000000000000004
1,0.4000000000000001,0.0,0.0
2,0.7717157287525382,0.3717157287525381,0.27171572875253813
3,0.7717157287525382,0.0,0.0
4,1.1151471862576143,0.34343145750507614,0.24343145750507614
5,1.1151471862576143,0.0,0.0
6,1.4302943725152286,0.3151471862576143,0.21514718625761428
7,1.4302943725152286,0.0,0.0
8,1.717157287525381,0.28686291501015243,0.18686291501015242
9,1.9898780669118026,0.2727207793864215,0.17272077938642147
10,1.9898780669118026,0.0,0.0
11,1.9898780669118026,0.0,0.0
12,2.2201724394270315,0.23029437251522866,0.13029437251522866
13,2.2201724394270315,0.0,0.0
14,2.422182540694798,0.2020101012677668,0.1020101012677668
15,2.422182540694798,0.0,0.0
16,2.422182540694798,0.0,0.0
17,2.422182540694798,0.0,0.0
18,2.422182540694798,0.0,0.0
19,2.422182540694798,0.0,0.0
20,2.422182540694798,0.0,0.0
21,2.525197692596448,0.10301515190165,0.0030151519016499984
22,2.614070708874367,0.0888730162779191,0.0
23,2.6888015895285555,0.0747308806541882,0.0
24,2.7493903345590125,0.06058874503045719,0.0
25,2.795836943965739,0.04644660940672618,0.0
26,2.795836943965739,0.0,0.0
27,2.8139992821250033,0.01816233815926438,0.0
28,2.8180194846605366,0.004020202535533368,0.0
29,2.8180194846605366,0.0,0.0
30,2.8422835533724653,0.024264068711928433,0.0
31,2.880689757708125,0.038406204335659444,0.0
32,2.933238097667515,0.052548339959390455,0.0
33,2.9999285732506364,0.06669047558312124,0.0
34,3.0807611844574887,0.08083261120685226,0.0
35,3.0807611844574887,0.0,0.0
36,3.189878066911803,0.10911688245431417,0.009116882454314162
37,3.189878066911803,0.0,0.0
38,3.189878066911803,0.0,0.0
39,3.189878066911803,0.0,0.0
40,3.189878066911803,0.0,0.0
41,3.369705627484772,0.1798275605729689,0.07982756057296889
42,3.5636753236814718,0.1939696961966999,0.0939696961966999
43,3.7717871555019027,0.2081118318204307,0.10811183182043069
44,3.7717871555019027,0.0,0.0
45,3.7717871555019027,0.0,0.0
46,4.022325394193526,0.2505382386916237,0.15053823869162372
47,4.022325394193526,0.0,0.0
48,4.022325394193526,0.0,0.0
49,4.022325394193526,0.0,0.0
50,4.022325394193526,0.0,0.0
51,4.022325394193526,0.0,0.0
52,4.022325394193526,0.0,0.0
53,4.022325394193526,0.0,0.0
54,4.022325394193526,0.0,0.0
55,4.400142853498728,0.37781745930520216,0.2778174593052022
56,4.792102448427661,0.3919595949289332,0.2919595949289332
57,5.198204178980325,0.4061017305526642,0.3061017305526642
58,5.61844804515672,0.420243866176395,0.320243866176395
59,6.052834046956846,0.434386001800126,0.334386001800126
60,6.052834046956846,0.0,0.0
61,6.052834046956846,0.0,0.0
62,6.052834046956846,0.0,0.0
63,6.052834046956846,0.0,0.0
64,6.557930726875627,0.5050966799187808,0.40509667991878084
65,7.0771695424181384,0.5192388155425116,0.41923881554251163
66,7.610550493584381,0.5333809511662426,0.43338095116624265
67,8.158073580374355,0.5475230867899736,0.44752308678997366
68,8.158073580374355,0.0,0.0
69,8.73388093841179,0.5758073580374357,0.4758073580374357
70,9.323830432072956,0.5899494936611664,0.48994949366116647
71,9.323830432072956,0.0,0.0
72,9.323830432072956,0.0,0.0
73,9.323830432072956,0.0,0.0
74,9.323830432072956,0.0,0.0
75,9.323830432072956,0.0,0.0
76,9.323830432072956,0.0,0.0
77,9.323830432072956,0.0,0.0
78,9.323830432072956,0.0,0.0
79,9.323830432072956,0.0,0.0
80,9.323830432072956,0.0,0.0
81,9.323830432072956,0.0,0.0
82,10.083485553218894,0.7596551211459379,0.6596551211459379
83,10.083485553218894,0.0,0.0
84,10.083485553218894,0.0,0.0
85,10.083485553218894,0.0,0.0
86,10.083485553218894,0.0,0.0
87,10.083485553218894,0.0,0.0
88,10.083485553218894,0.0,0.0
89,10.82483548270684,0.741349929487946,0.641349929487946
90,11.552043276571055,0.727207793864215,0.627207793864215
91,11.552043276571055,0.0,0.0
92,12.250966799187808,0.698923522616753,0.598923522616753
93,12.93574818618083,0.6847813869930219,0.584781386993022
94,12.93574818618083,0.0,0.0
95,12.93574818618083,0.0,0.0
96,12.93574818618083,0.0,0.0
97,12.93574818618083,0.0,0.0
98,12.93574818618083,0.0,0.0
99,12.93574818618083,0.0,0.0
100,12.93574818618083,0.0,0.0
101,12.93574818618083,0.0,0.0
102,12.93574818618083,0.0,0.0
103,12.93574818618083,0.0,0.0
104,12.93574818618083,0.0,0.0
105,12.93574818618083,0.0,0.0
106,12.93574818618083,0.0,0.0
107,12.93574818618083,0.0,0.0
108,12.93574818618083,0.0,0.0
109,13.394255403194157,0.45850721701332664,0.35850721701332666
110,13.394255403194157,0.0,0.0
111,13.394255403194157,0.0,0.0
112,13.81033621333629,0.41608081014213405,0.31608081014213407
113,14.212274887854694,0.40193867451840304,0.30193867451840306
